teamId,teamName,Conf,Div,W,L,WL,MOV,ORtg,DRtg,NRtg
1,Boston Celtics,E,A,51,31,0.622,7.02,115.05,107.65,7.39
2,Phoenix Suns,W,P,64,18,0.780,6.94,115.41,108.50,6.91
3,Utah Jazz,W,NW,49,33,0.598,5.67,117.63,111.84,5.79
4,Golden State Warriors,W,P,53,29,0.646,5.52,113.24,107.62,5.62
5,Memphis Grizzlies,W,SW,56,26,0.683,5.37,115.38,110.14,5.24
6,Miami Heat,E,SE,53,29,0.646,4.23,114.61,110.21,4.40
7,Dallas Mavericks,W,SW,52,30,0.634,3.12,113.76,110.41,3.35
8,Milwaukee Bucks,E,C,51,31,0.622,3.22,115.86,112.67,3.18
9,Philadelphia 76ers,E,A,51,31,0.622,2.57,114.42,111.86,2.56
10,Toronto Raptors,E,A,48,34,0.585,2.37,113.86,111.40,2.46
11,Minnesota Timberwolves,W,NW,46,36,0.561,2.53,115.23,112.79,2.44
12,Denver Nuggets,W,NW,48,34,0.585,2.16,115.25,113.08,2.17
13,Cleveland Cavaliers,E,C,44,38,0.537,2.04,112.66,110.62,2.05
14,Atlanta Hawks,E,SE,43,39,0.524,1.55,117.42,115.84,1.58
15,Brooklyn Nets,E,A,44,38,0.537,0.82,114.84,114.03,0.81
16,Charlotte Hornets,E,SE,43,39,0.524,0.53,115.02,114.42,0.60
17,New York Knicks,E,A,37,45,0.451,-0.01,111.35,111.31,0.04
18,Los Angeles Clippers,W,P,42,40,0.512,0.09,110.85,110.85,0.00
19,San Antonio Spurs,W,SW,34,48,0.415,0.02,113.09,113.16,-0.07
20,Chicago Bulls,E,C,46,36,0.561,-0.37,114.13,114.58,-0.45
21,New Orleans Pelicans,W,SW,36,46,0.439,-0.84,112.93,113.77,-0.84
22,Los Angeles Lakers,W,P,33,49,0.402,-3.08,111.22,114.30,-3.07
23,Indiana Pacers,E,C,25,57,0.305,-3.26,113.74,117.03,-3.28
24,Washington Wizards,E,SE,35,47,0.427,-3.23,111.79,115.23,-3.43
25,Sacramento Kings,W,P,30,52,0.366,-5.26,110.92,116.31,-5.38
26,Detroit Pistons,E,C,23,59,0.280,-7.35,107.02,114.36,-7.34
27,Orlando Magic,E,SE,22,60,0.268,-7.67,105.16,112.82,-7.66
28,Oklahoma City Thunder,W,NW,24,58,0.293,-7.90,105.18,113.16,-7.98
29,Houston Rockets,W,SW,20,62,0.244,-8.26,109.47,117.75,-8.28
30,Portland Trail Blazers,W,NW,27,55,0.329,-8.55,109.03,117.84,-8.81